This program will make the robot wander around. It uses some avoidance
actions if obstacles are detected, otherwise it just has a
constant forward velocity.

Press CTRL-C or Escape to exit.
Could not connect to simulator, connecting to robot through serial port /dev/ttyUSB0.
Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: Minnesota_1861
Type: Pioneer
Subtype: p3dx
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx.p
ArLaserConnector: There is a port given, but no port type given so using the robot parameters port type
ArLaserConnector: Set serial port to open /dev/ttyUSB1
laser: waiting for laser to power on.
laser: Connected to the laser.
Point: 678.057 -1633.7
Point: 638.693 -1616.96
Point: 604.223 -1610.63
Point: 565.931 -1591.31
Point: 532.204 -1582.56
Point: 497.782 -1569.3
Point: 462.327 -1549.55
Point: 430.816 -1540.65
Point: 397.575 -1522.39
Point: 366.899 -1511.25
Point: 337.144 -1501.46
Point: 308.793 -1496
Point: 278.993 -1480.17
Point: 251.087 -1471.66
Point: 222.584 -1455.69
Point: 194.832 -1440.18
Point: 168.835 -1435.1
Point: 143.068 -1429.54
Point: 116.775 -1412.55
Point: 91.689 -1406.07
Point: 66.6499 -1393.15
Point: 42.2414 -1388.79
Point: 18 -1375
Segment: 2744.26 142.877 18 1244 1.17816 1159.85 88
Segment: 1933.05 -2126.88 18 -1375 -1.94874 1266.16 43

10825
Line: 1.17403 1161.81
Line: -1.94753 1266.96
Point: 18 1246
Point: 39.449 1228.81
Point: 60.8566 1227.25
Point: 81.6929 1215.33
Point: 102.196 1204.06
Point: 123.807 1209.38
Point: 143.643 1195.42
Point: 164.609 1194.03
Point: 184.451 1184.36
Point: 204.313 1176.34
Point: 223.252 1164.04
Point: 241.628 1150.47
Point: 262.088 1148.35
Point: 282.093 1143.91
Point: 300.081 1131.36
Point: 320.559 1129.17
Point: 339.944 1122.75
Point: 359.49 1116.96
Point: 379.241 1111.79
Point: 395.008 1094.91
Point: 414.401 1089.1
Point: 432.99 1081.09
Point: 456.664 1085.73
Point: 471.639 1068.71
Point: 489.815 1059.71
Point: 508.237 1051.32
Point: 526.511 1042.6
Point: 545.083 1034.46
Point: 567.282 1033.05
Point: 585.227 1023.31
Point: 602.5 1012.38
Point: 624.715 1009.74
Point: 642.775 999.849
Point: 659.585 987.954
Point: 678.407 979.093
Point: 699.982 973.972
Point: 718.64 964.348
Point: 736.567 953.571
Point: 761.103 951.129
Point: 782.624 944.232
Point: 797.701 929.212
Point: 819.704 922.255
Point: 843.707 917.041
Point: 858.904 901.759
Point: 886.323 899.175
Point: 908.955 890.955
Point: 927.965 878.743
Point: 956.327 875.004
Point: 969.225 856.487
Point: 1001.39 854.845
Point: 1021.52 842.052
Point: 1044.61 831.332
Point: 1079.45 829.296
Point: 1103.35 817.867
Point: 1126.35 805.266
Point: 1146.79 790.388
Point: 1167.88 775.601
Point: 1208.91 773.387
Point: 1226.47 755.135
Point: 1258.32 745.26
Point: 1287.59 733
Point: 1328.18 726.245
Point: 1353.9 710.31
Point: 1385.7 696.875
Point: 1422.82 685.174
Point: 1452.69 669.005
Point: 1490.64 655.659
Point: 1523.03 638.845
Point: 1571.03 627.466
Point: 1597.62 606.359
Point: 1639.91 590.327
Point: 1684 573.651
Point: 1723.24 554.067
Point: 1777.6 537.964
Point: 1824.21 517.923
Point: 1871.61 496.674
Point: 1927.54 476.102
Point: 1983.3 453.726
Point: 2042.77 430.377
Point: 2107.88 406.232
Point: 2162.91 378.206
Point: 2229.43 350.257
Point: 2311.46 322.325
Point: 2390.19 291.268
Point: 2467.51 257.454
Point: 2547.34 221.288
Point: 2646.58 183.808
Point: 2737.27 142.511
Point: 2855.27 99.0797
Point: 2976.55 51.6417
Point: 3099 0
Point: 3231.51 -56.092
Point: 3407.93 -118.379
Point: 3554.15 -185.322
Point: 3748.89 -260.889
Point: 3959.94 -344.875
Point: 4193 -438.81
Point: 4455.67 -544.878
Point: 4766.34 -667.335
Point: 5120.4 -808.14
Point: 5540.8 -973.819
Point: 5918.56 -1146.95
Point: 6832.75 -1448.52
Point: 7306.29 -1682.63
Point: 6755.33 -4048.2
Point: 6038.29 -3761.9
Point: 5460.13 -3534.16
Point: 4961.55 -3334.47
Point: 4549.55 -3173.02
Point: 4182.01 -3025.33
Point: 3855.44 -2891.72
Point: 3573.5 -2777.86
Point: 3314.65 -2669.58
Point: 3099.03 -2585.29
Point: 2904.76 -2509.43
Point: 2733.45 -2445
Point: 2571.16 -2380.86
Point: 2420.59 -2320.16
Point: 2287.11 -2269.11
Point: 2161.72 -2219.88
Point: 2046.95 -2175.78
Point: 1936.4 -2130.6
Point: 1833.97 -2089.04
Point: 1738.74 -2050.7
Point: 1649.2 -2014.36
Point: 1564.54 -1979.48
Point: 1493.05 -1957.46
Point: 1418.69 -1927.89
Point: 1346.4 -1897.16
Point: 1279.54 -1870.31
Point: 1215.12 -1843.4
Point: 1159.98 -1827.54
Point: 1101.64 -1803.48
Point: 1044.5 -1777.95
Point: 993.437 -1759.73
Point: 944.267 -1742.06
Point: 895.564 -1722.32
Point: 848.275 -1702.32
Point: 806.606 -1691.17
Point: 763.955 -1675.44
Point: 718.972 -1651.39
Point: 678.431 -1634.63
Point: 639.768 -1619.76
Point: 604.907 -1612.51
Point: 566.582 -1593.2
Point: 531.586 -1580.66
Point: 495.151 -1560.69
Point: 463.154 -1552.44
Point: 431.075 -1541.62
Point: 398.301 -1525.3
Point: 367.574 -1514.17
Point: 336.313 -1497.54
Point: 308.22 -1493.05
Point: 278.993 -1480.17
